Trait1	Trait2	rg	se	z	p
Age at Menarche	Age at Smoking	0.017	0.068	0.256	0.798
Age at Menarche	Alzheimer's	0.061	0.056	1.098	0.272
Age at Menarche	Anorexia	0.007	0.03	0.229	0.819
Age at Menarche	Autism Spectrum	-0.079	0.044	-1.792	0.073
Age at Menarche	Bipolar	0.057	0.037	1.571	0.116
Age at Menarche	Birth Length	0.014	0.042	0.344	0.731
Age at Menarche	Birth Weight	-0.067	0.052	-1.308	0.191
Age at Menarche	BMI	-0.321	0.019	-17.022	5.61E-65
Age at Menarche	BMI 2010	-0.331	0.025	-13.156	1.58E-39
Age at Menarche	Childhood IQ	-0.076	0.056	-1.361	0.174
Age at Menarche	Childhood Obesity	-0.355	0.041	-8.568	1.06E-17
Age at Menarche	Cigarettes per Day	-0.08	0.055	-1.454	0.146
Age at Menarche	College	0.065	0.036	1.795	0.073
Age at Menarche	Coronary Artery Disease	-0.109	0.029	-3.828	0
Age at Menarche	Crohn's Disease	0.045	0.032	1.415	0.157
Age at Menarche	Depression	-0.053	0.058	-0.914	0.361
Age at Menarche	Ever/Never Smoked	-0.003	0.045	-0.056	0.956
Age at Menarche	Extreme BMI	-0.345	0.04	-8.718	2.83E-18
Age at Menarche	Extreme Height	0.099	0.031	3.154	0.002
Age at Menarche	Fasting Glucose	-0.04	0.034	-1.163	0.245
Age at Menarche	Fasting Insulin	-0.188	0.05	-3.742	0
Age at Menarche	Fasting Proinsulin	-0.095	0.057	-1.667	0.096
Age at Menarche	Former/Current Smoker	0.05	0.056	0.906	0.365
Age at Menarche	HbA1C	-0.12	0.052	-2.301	2.10E-02
Age at Menarche	HDL	0.172	0.033	5.207	1.92E-07
Age at Menarche	Height	0.116	0.021	5.577	2.44E-08
Age at Menarche	Height 2010	0.106	0.023	4.594	4.34E-06
Age at Menarche	Hip Circumference	-0.212	0.025	-8.456	2.78E-17
Age at Menarche	HOMA-B	-0.155	0.05	-3.105	2.00E-03
Age at Menarche	HOMA-IR	-0.209	0.065	-3.22	1.00E-03
Age at Menarche	Infant Head Circumference	-0.12	0.058	-2.06	0.039
Age at Menarche	LDL	0.025	0.032	0.795	0.427
Age at Menarche	Lumbar Spine BMD	-0.067	0.033	-2.046	0.041
Age at Menarche	Neck BMD	-0.069	0.032	-2.152	0.031
Age at Menarche	Obesity Class 1	-0.316	0.028	-11.238	2.64E-29
Age at Menarche	Obesity Class 2	-0.362	0.035	-10.325	5.41E-25
Age at Menarche	Obesity Class 3	-0.391	0.052	-7.557	4.12E-14
Age at Menarche	Overweight	-0.331	0.027	-12.108	9.64E-34
Age at Menarche	Rheumatoid Arthritis	-0.008	0.032	-0.261	0.794
Age at Menarche	Schizophrenia	0.014	0.026	0.551	0.582
Age at Menarche	T2D	-0.126	0.037	-3.39	0.001
Age at Menarche	Total Cholesterol	0.032	0.028	1.139	0.255
Age at Menarche	Triglycerides	-0.12	0.029	-4.121	3.78E-05
Age at Menarche	Ulcerative Colitis	0.041	0.044	0.943	0.345
Age at Menarche	Waist Circumference	-0.239	0.024	-10.078	6.93E-24
Age at Menarche	Waist-Hip Ratio	-0.198	0.027	-7.404	1.32E-13
Age at Menarche	Years of Education	0.043	0.035	1.253	0.21
Age at Smoking	Alzheimer's	0.18	0.173	1.041	0.298
Age at Smoking	Anorexia	0.096	0.105	0.912	0.362
Age at Smoking	Autism Spectrum	-0.07	0.148	-0.474	0.635
Age at Smoking	Bipolar	0.269	0.114	2.359	0.018
Age at Smoking	Birth Length	0.061	0.163	0.374	0.708
Age at Smoking	Birth Weight	0.324	0.167	1.935	0.053
Age at Smoking	BMI	-0.085	0.059	-1.443	0.149
Age at Smoking	BMI 2010	-0.086	0.066	-1.298	0.194
Age at Smoking	Childhood IQ	0.223	0.149	1.502	0.133
Age at Smoking	Childhood Obesity	-0.214	0.11	-1.951	0.051
Age at Smoking	Cigarettes per Day	0.242	0.193	1.256	0.209
Age at Smoking	College	0.302	0.103	2.939	0.003
Age at Smoking	Coronary Artery Disease	-0.213	0.093	-2.289	0.022
Age at Smoking	Crohn's Disease	0.06	0.099	0.611	0.541
Age at Smoking	Depression	-0.067	0.143	-0.47	0.638
Age at Smoking	Ever/Never Smoked	-0.305	0.134	-2.274	0.023
Age at Smoking	Extreme BMI	-0.076	0.123	-0.618	0.537
Age at Smoking	Extreme Height	0.098	0.121	0.807	0.42
Age at Smoking	Fasting Glucose	-0.087	0.122	-0.716	0.474
Age at Smoking	Fasting Insulin	-0.149	0.151	-0.983	0.326
Age at Smoking	Fasting Proinsulin	-0.33	0.239	-1.38	0.168
Age at Smoking	Former/Current Smoker	-0.202	0.16	-1.265	0.206
Age at Smoking	HbA1C	0.069	0.166	0.419	0.675
Age at Smoking	HDL	0.07	0.098	0.709	0.478
Age at Smoking	Height	0.11	0.062	1.785	0.074
Age at Smoking	Height 2010	0.092	0.073	1.256	0.209
Age at Smoking	Hip Circumference	0.068	0.072	0.95	0.342
Age at Smoking	HOMA-B	0.081	0.174	0.463	0.643
Age at Smoking	HOMA-IR	-0.048	0.186	-0.261	0.794
Age at Smoking	Infant Head Circumference	-0.029	0.162	-0.182	0.856
Age at Smoking	LDL	-0.188	0.103	-1.828	0.068
Age at Smoking	Lumbar Spine BMD	0.107	0.103	1.038	0.299
Age at Smoking	Neck BMD	0.075	0.098	0.762	0.446
Age at Smoking	Obesity Class 1	-0.159	0.094	-1.694	0.09
Age at Smoking	Obesity Class 2	-0.227	0.111	-2.05	0.04
Age at Smoking	Obesity Class 3	-0.107	0.145	-0.741	0.459
Age at Smoking	Overweight	-0.166	0.089	-1.866	0.062
Age at Smoking	Rheumatoid Arthritis	-0.003	0.103	-0.026	0.979
Age at Smoking	Schizophrenia	0.131	0.084	1.566	0.117
Age at Smoking	T2D	0.014	0.121	0.112	0.911
Age at Smoking	Total Cholesterol	-0.173	0.086	-2.008	0.045
Age at Smoking	Triglycerides	-0.178	0.092	-1.934	0.053
Age at Smoking	Ulcerative Colitis	0.059	0.125	0.471	0.638
Age at Smoking	Waist Circumference	-0.036	0.066	-0.537	0.591
Age at Smoking	Waist-Hip Ratio	-0.149	0.073	-2.046	0.041
Age at Smoking	Years of Education	0.216	0.098	2.21	0.027
Alzheimer's	Anorexia	0.108	0.077	1.412	0.158
Alzheimer's	Autism Spectrum	0.042	0.109	0.388	0.698
Alzheimer's	Bipolar	-0.002	0.082	-0.02	0.984
Alzheimer's	Birth Length	-0.135	0.116	-1.165	0.244
Alzheimer's	Birth Weight	-0.034	0.131	-0.261	0.794
Alzheimer's	BMI	-0.028	0.059	-0.484	0.629
Alzheimer's	BMI 2010	-0.096	0.068	-1.415	0.157
Alzheimer's	Childhood IQ	-0.362	0.111	-3.257	0.001
Alzheimer's	Childhood Obesity	-0.095	0.102	-0.93	0.352
Alzheimer's	Cigarettes per Day	0.079	0.152	0.519	0.604
Alzheimer's	College	-0.364	0.1	-3.639	0
Alzheimer's	Coronary Artery Disease	-0.039	0.071	-0.546	0.585
Alzheimer's	Crohn's Disease	-0.107	0.087	-1.229	0.219
Alzheimer's	Depression	0.152	0.145	1.051	0.293
Alzheimer's	Ever/Never Smoked	-0.048	0.098	-0.488	0.626
Alzheimer's	Extreme BMI	-0.056	0.096	-0.582	0.56
Alzheimer's	Extreme Height	-0.015	0.073	-0.207	0.836
Alzheimer's	Fasting Glucose	0.183	0.095	1.931	0.053
Alzheimer's	Fasting Insulin	-0.237	0.122	-1.947	0.052
Alzheimer's	Fasting Proinsulin	-0.423	0.178	-2.38	0.017
Alzheimer's	Former/Current Smoker	0.037	0.127	0.288	0.773
Alzheimer's	HbA1C	-0.141	0.137	-1.031	0.303
Alzheimer's	HDL	0.197	0.093	2.118	0.034
Alzheimer's	Height	-0.127	0.051	-2.486	0.013
Alzheimer's	Height 2010	-0.105	0.058	-1.806	0.071
Alzheimer's	Hip Circumference	-0.088	0.063	-1.393	0.164
Alzheimer's	HOMA-B	-0.161	0.129	-1.25	0.211
Alzheimer's	HOMA-IR	-0.123	0.139	-0.885	0.376
Alzheimer's	Infant Head Circumference	-0.317	0.163	-1.948	0.051
Alzheimer's	LDL	0.003	0.12	0.023	0.982
Alzheimer's	Lumbar Spine BMD	0.206	0.085	2.427	0.015
Alzheimer's	Neck BMD	0.112	0.082	1.365	0.172
Alzheimer's	Obesity Class 1	-0.064	0.068	-0.942	0.346
Alzheimer's	Obesity Class 2	-0.017	0.091	-0.187	0.851
Alzheimer's	Obesity Class 3	0.1	0.121	0.827	0.408
Alzheimer's	Overweight	-0.061	0.066	-0.926	0.354
Alzheimer's	Rheumatoid Arthritis	-0.13	0.094	-1.387	0.165
Alzheimer's	Schizophrenia	0.052	0.054	0.961	0.337
Alzheimer's	T2D	0.062	0.105	0.586	0.558
Alzheimer's	Total Cholesterol	0.045	0.097	0.467	0.641
Alzheimer's	Triglycerides	-0.065	0.073	-0.883	0.377
Alzheimer's	Ulcerative Colitis	-0.156	0.103	-1.51	0.131
Alzheimer's	Waist Circumference	-0.052	0.064	-0.812	0.417
Alzheimer's	Waist-Hip Ratio	-0.009	0.065	-0.14	0.889
Alzheimer's	Years of Education	-0.29	0.092	-3.156	0.002
Anorexia	Autism Spectrum	0.009	0.06	0.145	0.884
Anorexia	Bipolar	0.158	0.05	3.16	0.002
Anorexia	Birth Length	0.027	0.067	0.406	6.85E-01
Anorexia	Birth Weight	-0.054	0.065	-0.831	0.406
Anorexia	BMI	-0.14	0.029	-4.754	2.00E-06
Anorexia	BMI 2010	-0.123	0.036	-3.45	0.001
Anorexia	Childhood IQ	0.062	0.106	0.589	0.556
Anorexia	Childhood Obesity	-0.112	0.052	-2.152	0.031
Anorexia	Cigarettes per Day	-0.064	0.081	-0.786	0.432
Anorexia	College	0.162	0.05	3.247	0.001
Anorexia	Coronary Artery Disease	-0.052	0.038	-1.367	0.171
Anorexia	Crohn's Disease	-0.019	0.047	-0.401	0.689
Anorexia	Depression	0.189	0.069	2.759	0.006
Anorexia	Ever/Never Smoked	-0.178	0.056	-3.19	0.001
Anorexia	Extreme BMI	-0.102	0.056	-1.808	0.071
Anorexia	Extreme Height	-0.038	0.046	-0.817	0.414
Anorexia	Fasting Glucose	-0.07	0.048	-1.465	0.143
Anorexia	Fasting Insulin	-0.254	0.055	-4.583	4.59E-06
Anorexia	Fasting Proinsulin	-0.149	0.084	-1.777	0.076
Anorexia	Former/Current Smoker	0.193	0.074	2.606	0.009
Anorexia	HbA1C	0.082	0.059	1.382	0.167
Anorexia	HDL	0.098	0.043	2.285	0.022
Anorexia	Height	-0.033	0.025	-1.321	0.186
Anorexia	Height 2010	-0.027	0.031	-0.867	0.386
Anorexia	Hip Circumference	-0.112	0.033	-3.36	0.001
Anorexia	HOMA-B	-0.187	0.067	-2.805	0.005
Anorexia	HOMA-IR	-0.288	0.079	-3.633	0
Anorexia	Infant Head Circumference	-0.236	0.084	-2.818	0.005
Anorexia	LDL	-0.056	0.051	-1.095	0.273
Anorexia	Lumbar Spine BMD	0.069	0.044	1.554	0.12
Anorexia	Neck BMD	0.026	0.04	0.643	0.52
Anorexia	Obesity Class 1	-0.155	0.037	-4.193	2.75E-05
Anorexia	Obesity Class 2	-0.164	0.05	-3.251	0.001
Anorexia	Obesity Class 3	-0.171	0.076	-2.262	0.024
Anorexia	Overweight	-0.112	0.038	-2.95	0.003
Anorexia	Rheumatoid Arthritis	-0.117	0.042	-2.811	0.005
Anorexia	Schizophrenia	0.186	0.036	5.21	1.88E-07
Anorexia	T2D	-0.004	0.049	-0.08	0.936
Anorexia	Total Cholesterol	-0.054	0.044	-1.227	0.22
Anorexia	Triglycerides	-0.1	0.038	-2.663	0.008
Anorexia	Ulcerative Colitis	0.059	0.052	1.151	0.25
Anorexia	Waist Circumference	-0.206	0.032	-6.416	1.40E-10
Anorexia	Waist-Hip Ratio	-0.219	0.037	-5.864	4.52E-09
Anorexia	Years of Education	0.175	0.05	3.534	0
Autism Spectrum	Bipolar	0.063	0.077	0.82	0.412
Autism Spectrum	Birth Length	0.195	0.103	1.888	0.059
Autism Spectrum	Birth Weight	0.044	0.089	0.494	0.621
Autism Spectrum	BMI	-0.003	0.038	-0.068	0.946
Autism Spectrum	BMI 2010	0.004	0.05	0.088	0.93
Autism Spectrum	Childhood IQ	0.425	0.106	4.023	5.74E-05
Autism Spectrum	Childhood Obesity	-0.058	0.069	-0.84	0.401
Autism Spectrum	Cigarettes per Day	-0.082	0.119	-0.693	0.489
Autism Spectrum	College	0.339	0.069	4.892	1.00E-06
Autism Spectrum	Coronary Artery Disease	-0.063	0.049	-1.306	0.191
Autism Spectrum	Crohn's Disease	-0.034	0.047	-0.72	0.471
Autism Spectrum	Depression	0.135	0.1	1.354	1.76E-01
Autism Spectrum	Ever/Never Smoked	0.087	0.072	1.21	0.226
Autism Spectrum	Extreme BMI	0.016	0.075	0.21	0.834
Autism Spectrum	Extreme Height	-0.13	0.063	-2.067	0.039
Autism Spectrum	Fasting Glucose	-0.157	0.07	-2.23	0.026
Autism Spectrum	Fasting Insulin	0.025	0.088	0.289	0.773
Autism Spectrum	Fasting Proinsulin	0.057	0.113	0.503	0.615
Autism Spectrum	Former/Current Smoker	0.088	0.108	0.814	0.415
Autism Spectrum	HbA1C	0.102	0.1	1.021	0.307
Autism Spectrum	HDL	0.008	0.055	0.142	0.887
Autism Spectrum	Height	-0.034	0.036	-0.933	0.351
Autism Spectrum	Height 2010	-0.082	0.043	-1.916	0.055
Autism Spectrum	Hip Circumference	0.022	0.046	0.474	0.635
Autism Spectrum	HOMA-B	0.06	0.11	0.544	0.587
Autism Spectrum	HOMA-IR	-0.087	0.123	-0.711	0.477
Autism Spectrum	Infant Head Circumference	0.063	0.104	0.604	0.546
Autism Spectrum	LDL	-0.024	0.059	-0.403	0.687
Autism Spectrum	Lumbar Spine BMD	0.055	0.065	0.846	0.397
Autism Spectrum	Neck BMD	0.041	0.054	0.772	0.44
Autism Spectrum	Obesity Class 1	0.03	0.054	0.548	0.583
Autism Spectrum	Obesity Class 2	0.027	0.064	0.423	0.672
Autism Spectrum	Obesity Class 3	0.057	0.095	0.604	0.546
Autism Spectrum	Overweight	0.001	0.056	0.021	0.983
Autism Spectrum	Rheumatoid Arthritis	-0.077	0.057	-1.348	0.178
Autism Spectrum	Schizophrenia	0.181	0.051	3.514	0.00E+00
Autism Spectrum	T2D	-0.048	0.078	-0.618	0.537
Autism Spectrum	Total Cholesterol	0.016	0.049	0.331	0.741
Autism Spectrum	Triglycerides	0.053	0.063	0.833	0.405
Autism Spectrum	Ulcerative Colitis	0.003	0.066	0.039	0.969
Autism Spectrum	Waist Circumference	0.039	0.044	0.876	0.381
Autism Spectrum	Waist-Hip Ratio	0.075	0.047	1.587	0.113
Autism Spectrum	Years of Education	0.34	0.071	4.763	1.91E-06
Bipolar	Birth Length	-0.005	0.076	-0.061	0.951
Bipolar	Birth Weight	-0.008	0.085	-0.096	0.924
Bipolar	BMI	-0.068	0.04	-1.726	0.084
Bipolar	BMI 2010	-0.062	0.04	-1.534	0.125
Bipolar	Childhood IQ	0.132	0.088	1.495	0.135
Bipolar	Childhood Obesity	-0.004	0.059	-0.067	0.947
Bipolar	Cigarettes per Day	0.056	0.091	0.611	0.541
Bipolar	College	0.302	0.059	5.143	2.70E-07
Bipolar	Coronary Artery Disease	0.004	0.041	0.103	0.918
Bipolar	Crohn's Disease	0.209	0.047	4.408	1.04E-05
Bipolar	Depression	0.636	0.081	7.891	3.01E-15
Bipolar	Ever/Never Smoked	0.09	0.054	1.661	0.097
Bipolar	Extreme BMI	-0.077	0.066	-1.174	0.241
Bipolar	Extreme Height	0.065	0.053	1.235	0.217
Bipolar	Fasting Glucose	0.011	0.068	0.168	0.867
Bipolar	Fasting Insulin	-0.025	0.082	-0.306	0.76
Bipolar	Fasting Proinsulin	-0.021	0.098	-0.218	0.828
Bipolar	Former/Current Smoker	0.141	0.086	1.64	0.101
Bipolar	HbA1C	0.0004	0.081	-0.005	0.996
Bipolar	HDL	0.026	0.05	0.528	0.598
Bipolar	Height	0.012	0.033	0.377	0.707
Bipolar	Height 2010	0.046	0.037	1.23	0.219
Bipolar	Hip Circumference	-0.084	0.049	-1.704	0.088
Bipolar	HOMA-B	0.039	0.075	0.523	0.601
Bipolar	HOMA-IR	0.043	0.098	0.441	0.659
Bipolar	Infant Head Circumference	0.089	0.098	0.907	0.364
Bipolar	LDL	-0.03	0.053	-0.563	0.574
Bipolar	Lumbar Spine BMD	0.102	0.056	1.819	0.069
Bipolar	Neck BMD	0.195	0.053	3.711	0
Bipolar	Obesity Class 1	-0.121	0.045	-2.699	0.007
Bipolar	Obesity Class 2	-0.165	0.054	-3.076	0.002
Bipolar	Obesity Class 3	-0.205	0.077	-2.668	0.008
Bipolar	Overweight	-0.086	0.046	-1.86	0.063
Bipolar	Rheumatoid Arthritis	-0.164	0.063	-2.622	0.009
Bipolar	Schizophrenia	0.832	0.038	21.867	5.31E-106
Bipolar	T2D	0.069	0.06	1.146	0.252
Bipolar	Total Cholesterol	-0.011	0.051	-0.214	0.831
Bipolar	Triglycerides	-0.007	0.049	-0.134	0.894
Bipolar	Ulcerative Colitis	0.207	0.057	3.611	0
Bipolar	Waist Circumference	-0.041	0.047	-0.875	0.381
Bipolar	Waist-Hip Ratio	-0.054	0.044	-1.241	0.215
Bipolar	Years of Education	0.334	0.056	5.949	2.70E-09
Birth Length	Birth Weight	0.721	0.079	9.077	1.12E-19
Birth Length	BMI	0.038	0.05	0.759	0.448
Birth Length	BMI 2010	0.037	0.053	0.693	0.488
Birth Length	Childhood IQ	0.043	0.097	0.446	0.655
Birth Length	Childhood Obesity	0.036	0.085	0.423	0.672
Birth Length	Cigarettes per Day	-0.014	0.118	-0.117	0.907
Birth Length	College	0.133	0.071	1.874	0.061
Birth Length	Coronary Artery Disease	-0.176	0.059	-2.979	0.003
Birth Length	Crohn's Disease	0.024	0.069	0.352	0.725
Birth Length	Depression	-0.078	0.116	-0.674	0.5
Birth Length	Ever/Never Smoked	-0.098	0.084	-1.158	0.247
Birth Length	Extreme BMI	-0.054	0.078	-0.689	0.491
Birth Length	Extreme Height	0.525	0.073	7.209	5.63E-13
Birth Length	Fasting Glucose	-0.07	0.075	-0.941	0.347
Birth Length	Fasting Insulin	0.051	0.103	0.498	0.618
Birth Length	Fasting Proinsulin	-0.004	0.13	-0.029	0.977
Birth Length	Former/Current Smoker	-0.131	0.116	-1.124	0.261
Birth Length	HbA1C	-0.181	0.111	-1.636	0.102
Birth Length	HDL	0.042	0.066	0.639	0.523
Birth Length	Height	0.503	0.049	10.274	9.22E-25
Birth Length	Height 2010	0.514	0.056	9.231	2.69E-20
Birth Length	Hip Circumference	0.265	0.059	4.456	8.33E-06
Birth Length	HOMA-B	0.089	0.12	0.739	0.46
Birth Length	HOMA-IR	0.143	0.13	1.099	0.272
Birth Length	Infant Head Circumference	0.562	0.118	4.771	1.83E-06
Birth Length	LDL	-0.151	0.077	-1.96	0.05
Birth Length	Lumbar Spine BMD	0.014	0.079	0.172	0.863
Birth Length	Neck BMD	0.013	0.066	0.203	0.839
Birth Length	Obesity Class 1	0.03	0.056	0.538	0.59
Birth Length	Obesity Class 2	-0.034	0.067	-0.51	0.61
Birth Length	Obesity Class 3	-0.066	0.091	-0.72	0.472
Birth Length	Overweight	0.026	0.059	0.438	0.661
Birth Length	Rheumatoid Arthritis	-0.014	0.072	-0.192	0.847
Birth Length	Schizophrenia	0.032	0.054	0.587	0.557
Birth Length	T2D	-0.213	0.08	-2.651	0.008
Birth Length	Total Cholesterol	-0.123	0.066	-1.859	0.063
Birth Length	Triglycerides	-0.106	0.061	-1.73	0.084
Birth Length	Ulcerative Colitis	0.189	0.089	2.118	0.034
Birth Length	Waist Circumference	0.167	0.055	3.062	0.002
Birth Length	Waist-Hip Ratio	-0.019	0.048	-0.404	0.687
Birth Length	Years of Education	0.146	0.077	1.891	0.059
Birth Weight	BMI	0.078	0.044	1.781	0.075
Birth Weight	BMI 2010	0.11	0.057	1.939	0.052
Birth Weight	Childhood IQ	0.141	0.124	1.134	0.257
Birth Weight	Childhood Obesity	0.092	0.077	1.184	0.236
Birth Weight	Cigarettes per Day	-0.284	0.125	-2.274	2.30E-02
Birth Weight	College	0.066	0.064	1.034	0.301
Birth Weight	Coronary Artery Disease	-0.146	0.055	-2.636	0.008
Birth Weight	Crohn's Disease	0.097	0.071	1.366	0.172
Birth Weight	Depression	-0.08	0.107	-0.753	0.452
Birth Weight	Ever/Never Smoked	-0.064	0.082	-0.779	0.436
Birth Weight	Extreme BMI	0.028	0.075	0.372	7.10E-01
Birth Weight	Extreme Height	0.374	0.064	5.888	3.90E-09
Birth Weight	Fasting Glucose	-0.177	0.081	-2.197	0.028
Birth Weight	Fasting Insulin	-0.186	0.111	-1.676	0.094
Birth Weight	Fasting Proinsulin	-0.069	0.132	-0.524	0.601
Birth Weight	Former/Current Smoker	-0.058	0.111	-0.521	0.603
Birth Weight	HbA1C	-0.397	0.114	-3.486	0
Birth Weight	HDL	0.057	0.063	0.908	3.64E-01
Birth Weight	Height	0.434	0.05	8.681	3.92E-18
Birth Weight	Height 2010	0.41	0.053	7.753	8.96E-15
Birth Weight	Hip Circumference	0.242	0.055	4.44	9.01E-06
Birth Weight	HOMA-B	-0.009	0.102	-0.086	0.931
Birth Weight	HOMA-IR	-0.093	0.117	-0.795	0.426
Birth Weight	Infant Head Circumference	0.407	0.125	3.258	0.001
Birth Weight	LDL	-0.145	0.078	-1.86	0.063
Birth Weight	Lumbar Spine BMD	0.037	0.071	0.525	0.6
Birth Weight	Neck BMD	0.004	0.072	0.059	0.953
Birth Weight	Obesity Class 1	0.074	0.06	1.226	2.20E-01
Birth Weight	Obesity Class 2	0.076	0.068	1.12	0.263
Birth Weight	Obesity Class 3	0.098	0.096	1.014	0.31
Birth Weight	Overweight	0.071	0.058	1.212	0.225
Birth Weight	Rheumatoid Arthritis	-0.066	0.067	-0.981	3.26E-01
Birth Weight	Schizophrenia	-0.002	0.056	-0.036	0.972
Birth Weight	T2D	-0.337	0.089	-3.794	0.00E+00
Birth Weight	Total Cholesterol	-0.131	0.066	-2	0.046
Birth Weight	Triglycerides	-0.174	0.063	-2.745	0.006
Birth Weight	Ulcerative Colitis	-0.014	0.087	-0.162	8.71E-01
Birth Weight	Waist Circumference	0.139	0.055	2.509	1.20E-02
Birth Weight	Waist-Hip Ratio	-0.084	0.059	-1.425	0.154
Birth Weight	Years of Education	0.096	0.064	1.512	0.131
BMI	BMI 2010	1.008	0.006	156.631	0
BMI	Childhood IQ	-0.164	0.052	-3.138	0.002
BMI	Childhood Obesity	0.733	0.04	18.504	1.91E-76
BMI	Cigarettes per Day	0.282	0.063	4.471	7.79E-06
BMI	College	-0.246	0.032	-7.756	8.74E-15
BMI	Coronary Artery Disease	0.231	0.028	8.166	3.18E-16
BMI	Crohn's Disease	-0.002	0.029	-0.08	0.936
BMI	Depression	-0.028	0.051	-0.547	0.585
BMI	Ever/Never Smoked	0.181	0.034	5.369	7.93E-08
BMI	Extreme BMI	1.031	0.024	43.088	0
BMI	Extreme Height	-0.058	0.033	-1.748	0.08
BMI	Fasting Glucose	0.3	0.046	6.538	6.22E-11
BMI	Fasting Insulin	0.656	0.06	10.946	6.95E-28
BMI	Fasting Proinsulin	0.272	0.093	2.915	0.004
BMI	Former/Current Smoker	-0.184	0.056	-3.307	0.001
BMI	HbA1C	0.183	0.054	3.394	0.001
BMI	HDL	-0.375	0.031	-12.065	1.62E-33
BMI	Height	-0.072	0.02	-3.563	0
BMI	Height 2010	-0.067	0.023	-2.937	0.003
BMI	Hip Circumference	0.838	0.011	76.399	0
BMI	HOMA-B	0.456	0.059	7.689	1.49E-14
BMI	HOMA-IR	0.66	0.073	9.004	2.17E-19
BMI	Infant Head Circumference	0.164	0.051	3.199	0.001
BMI	LDL	0.054	0.033	1.628	0.104
BMI	Lumbar Spine BMD	0.092	0.028	3.24	0.001
BMI	Neck BMD	0.071	0.026	2.7	0.007
BMI	Obesity Class 1	1.032	0.01	106.409	0
BMI	Obesity Class 2	1.038	0.016	62.984	0
BMI	Obesity Class 3	0.975	0.052	18.635	1.66E-77
BMI	Overweight	1.022	0.012	87.433	0
BMI	Rheumatoid Arthritis	0.046	0.029	1.602	0.109
BMI	Schizophrenia	-0.103	0.021	-4.889	1.01E-06
BMI	T2D	0.381	0.038	10.133	3.96E-24
BMI	Total Cholesterol	-0.002	0.028	-0.058	0.954
BMI	Triglycerides	0.279	0.034	8.131	4.25E-16
BMI	Ulcerative Colitis	-0.122	0.034	-3.604	0
BMI	Waist Circumference	0.897	0.008	106.477	0
BMI	Waist-Hip Ratio	0.572	0.024	24.132	1.16E-128
BMI	Years of Education	-0.289	0.032	-9.073	1.16E-19
BMI 2010	Childhood IQ	-0.163	0.054	-3.016	0.003
BMI 2010	Childhood Obesity	0.79	0.04	19.614	1.17E-85
